ID,Title,Content Type,Redacted %,Heinousness,Skill Granted,Skill Potency,Rarity,Classification,Date,Source
DOC-001,PROJECT MAJESTIC FLIGHT MANIFEST - 1947,flight_log,85,9,Celestial Navigation,1.9,legendary,cosmic_secret,1947-07-08,WPAFB / MAJESTIC-12
DOC-002,AUTOPSY REPORT: SUBJECT A-1947,autopsy,92,10,Xenobiology,2.0,legendary,cosmic_secret,1947-07-09,Walter Reed Army Medical Center
DOC-003,OFFSHORE WIRE TRANSFER - VAULT 17,financial,67,8,Money Laundering,1.7,epic,top_secret,1982-11-22,BCCI / Cayman Islands
DOC-004,SECURE LINE TRANSCRIPT - OPERATION MOCKINGBIRD,phone_log,74,7,Media Manipulation,1.6,rare,secret,1963-11-21,NSA Domestic Surveillance Archive
DOC-005,SATELLITE IMAGERY - DULCE FACILITY (REDACTED),photo,88,9,Thermal Vision,1.9,legendary,cosmic_secret,1979-08-14,KH-11 Reconnaissance Satellite
DOC-006,EMAIL THREAD: PROJECT ARTICHOKE STATUS,email,61,8,Mind Control,1.7,epic,top_secret,1953-04-03,CIA Directorate of Science & Technology
DOC-007,FLIGHT LOG: AIR AMERICA - LAOS RUN,flight_log,55,6,Smuggler's Route,1.4,uncommon,secret,1970-03-12,Air America Operations
DOC-008,AUTOPSY: JANE DOE #227 - PLUM ISLAND,autopsy,79,8,Pathogen Identification,1.8,epic,top_secret,1999-06-17,USDA / DHS Joint Facility
DOC-009,SWISS ACCOUNT LEDGER - PHOENIX FUND,financial,71,9,Black Market Connections,1.8,epic,top_secret,2001-09-10,Credit Suisse Private Banking
DOC-010,NSA INTERCEPT: TERRORIST CHATTER,phone_log,45,7,Cryptanalysis,1.5,rare,secret,2001-09-10,NSA Echelon Program
DOC-011,CLASSIFIED PHOTO: NAZI BELL APPARATUS,photo,82,7,Antigravity Theory,1.7,epic,top_secret,1945-05-02,ALSOS Mission Archive
DOC-012,EMAIL: MONARCH PROGRAM SUBJECT RECRUITMENT,email,89,10,Trauma Programming,2.0,legendary,cosmic_secret,1984-02-14,Presidio Military Intelligence
DOC-013,AREA 51 FLIGHT TEST LOG - WEEK 34,flight_log,91,8,Stealth Piloting,1.8,legendary,cosmic_secret,1989-08-19,Groom Lake Test Facility
DOC-014,AUTOPSY: KENNEDY SECOND SHOOTER EVIDENCE,autopsy,95,9,Forensic Analysis,1.9,legendary,cosmic_secret,1963-11-23,Bethesda Naval Hospital
DOC-015,IRAQ WAR CONTRACT INVOICE - BLACKWATER,financial,43,6,Mercenary Contracting,1.3,uncommon,confidential,2007-09-16,Department of Defense
DOC-016,PHONE LOG: EPSTEIN-MAXWELL EXCHANGE,phone_log,76,9,Influence Network,1.8,epic,top_secret,2005-07-03,FISA Wiretap Archive
DOC-017,LUNAR SURFACE PHOTO - ANOMALY SITE,photo,87,8,Anomaly Detection,1.8,legendary,cosmic_secret,1971-08-02,Apollo 15 Mission Archive
DOC-018,EMAIL: COINTELPRO TARGET ASSESSMENT,email,52,6,Disruption Tactics,1.4,uncommon,secret,1968-04-15,FBI Counterintelligence Program
DOC-019,CHEMTRAIL FLIGHT PLAN - OPERATION INDIGO SKY,flight_log,68,7,Atmospheric Control,1.6,rare,top_secret,2003-05-12,Air Force Weather Modification Wing
DOC-020,AUTOPSY: TUSKEGEE SUBJECT #399,autopsy,64,9,Medical Ethics Breach,1.8,epic,top_secret,1972-11-03,USPHS Syphilis Study Archive
DOC-021,OFFSHORE ACCOUNT: CLINTON FOUNDATION,financial,58,6,Foundation Washing,1.4,uncommon,confidential,2010-03-22,HSBC Private Bank (Geneva)
DOC-022,CALL TRANSCRIPT: BUSH-CHENEY-9/11,phone_log,93,9,False Flag Orchestration,1.9,legendary,cosmic_secret,2001-09-11,Presidential Emergency Operations Center
DOC-023,SATELLITE PHOTO: ANTARCTICA ENTRANCE,photo,81,8,Subterranean Mapping,1.7,epic,top_secret,2006-12-04,GeoEye-1 Commercial Imagery
DOC-024,EMAIL: GATES FOUNDATION VACCINE TRIAL,email,59,7,Population Management,1.5,rare,secret,2014-09-18,GAVI Alliance Internal Communications
